date,open,high,low,close,adj_close,volume
2020-01-02,28249.369140625,28543.51953125,28245.970703125,28543.51953125,28543.51953125,1262732800
2020-01-03,28828.359375,28883.30078125,28428.169921875,28451.5,28451.5,1797904800
2020-01-06,28326.5,28367.869140625,28054.2890625,28226.189453125,28226.189453125,1793426600
2020-01-07,28352.6796875,28473.080078125,28264.0703125,28322.060546875,28322.060546875,1302687200
2020-01-08,27999.580078125,28198.609375,27857.73046875,28087.919921875,28087.919921875,1709241600
2020-01-09,28367.650390625,28561.0,28325.859375,28561.0,28561.0,1692786200
2020-01-10,28665.140625,28665.140625,28504.26953125,28638.19921875,28638.19921875,1448401000
2020-01-13,28772.369140625,28971.400390625,28671.83984375,28954.939453125,28954.939453125,1765055700
2020-01-14,29149.529296875,29149.529296875,28790.490234375,28885.140625,28885.140625,1643504700
2020-01-15,28891.0703125,28972.6796875,28619.099609375,28773.58984375,28773.58984375,1240120700
2020-01-16,28806.119140625,28987.73046875,28709.5703125,28883.0390625,28883.0390625,1620926200
2020-01-17,28988.16015625,29101.150390625,28813.130859375,29056.419921875,29056.419921875,1545082800
2020-01-20,29169.119140625,29174.919921875,28795.419921875,28795.91015625,28795.91015625,1633383900
2020-01-21,28449.380859375,28492.029296875,27980.5,27985.330078125,27985.330078125,2236521700
2020-01-22,28116.5,28393.9296875,27937.6796875,28341.0390625,28341.0390625,1343288100
2020-01-23,28109.75,28133.029296875,27706.369140625,27909.119140625,27909.119140625,1753263000
2020-01-24,27935.419921875,27977.630859375,27774.5,27949.640625,27949.640625,612128700
2020-01-29,27101.5390625,27333.30078125,27101.5390625,27160.630859375,27160.630859375,2203836100
2020-01-30,27030.609375,27134.55078125,26330.05078125,26449.130859375,26449.130859375,2223567800
2020-01-31,26757.609375,26818.83984375,26295.490234375,26312.630859375,26312.630859375,1874255200
2020-02-03,26189.609375,26512.580078125,26145.58984375,26356.98046875,26356.98046875,2421482700
2020-02-04,26491.66015625,26730.259765625,26491.66015625,26675.98046875,26675.98046875,2500238100
2020-02-05,26869.3203125,26926.119140625,26641.919921875,26786.740234375,26786.740234375,2498930800
2020-02-06,27174.529296875,27608.220703125,27029.490234375,27493.69921875,27493.69921875,2249533900
2020-02-07,27356.279296875,27410.580078125,27224.119140625,27404.26953125,27404.26953125,1464514700
2020-02-10,27092.150390625,27314.640625,27044.880859375,27241.33984375,27241.33984375,1612017900
2020-02-11,27514.25,27674.810546875,27436.990234375,27583.880859375,27583.880859375,1868625400
2020-02-12,27717.220703125,27892.48046875,27614.830078125,27823.66015625,27823.66015625,1796561200
2020-02-13,27953.650390625,27953.650390625,27695.599609375,27730.0,27730.0,1617010200
2020-02-14,27698.560546875,27960.66015625,27695.58984375,27815.599609375,27815.599609375,1445335900
2020-02-17,27766.7109375,28055.580078125,27766.7109375,27959.599609375,27959.599609375,1412999200
2020-02-18,27766.5,27771.30078125,27496.25,27530.19921875,27530.19921875,1592221400
2020-02-19,27486.4609375,27697.4609375,27448.599609375,27655.810546875,27655.810546875,1471538100
2020-02-20,27767.279296875,27767.279296875,27383.130859375,27609.16015625,27609.16015625,1582073100
2020-02-21,27450.4609375,27484.529296875,27264.779296875,27308.810546875,27308.810546875,1773613400
2020-02-24,27105.349609375,27105.349609375,26813.220703125,26820.880859375,26820.880859375,2044657000
2020-02-25,26722.390625,26914.05078125,26667.0390625,26893.23046875,26893.23046875,1924042900
2020-02-26,26479.900390625,26776.060546875,26479.900390625,26696.490234375,26696.490234375,2040000000
2020-02-27,26529.169921875,26849.5703125,26419.970703125,26778.619140625,26778.619140625,2110369700
2020-02-28,26249.060546875,26313.55078125,25989.41015625,26129.9296875,26129.9296875,3191426200
2020-03-02,26077.73046875,26375.91015625,26077.73046875,26291.6796875,26291.6796875,2201535600
2020-03-03,26419.130859375,26527.75,26233.390625,26284.8203125,26284.8203125,2136295000
2020-03-04,26321.560546875,26372.48046875,26038.390625,26222.0703125,26222.0703125,1957062400
2020-03-05,26348.16015625,26805.580078125,26315.359375,26767.869140625,26767.869140625,2522843200
2020-03-06,26397.779296875,26408.80078125,26084.23046875,26146.669921875,26146.669921875,2646519300
