date,open,high,low,close,volume,cr-ma3,cci,cr-ma1,cr-ma2,change,ppoh,kdjj_9,ppo,ppos,stochrsi
2008-01-04,-0.016434960133755783,-0.014059544943796243,-0.008994634845261862,-0.013370330455657387,0.5672798038958851,32.55821862108601,-100.00000000000112,32.55821862108601,32.55821862108601,-1.5468291323078476,-0.03710692594640707,-4.213236292744298,-0.07415536235048838,-0.03704843640408131,100.0
2008-01-07,-0.015247765839100813,-0.01722844923550515,-0.011609166987286867,-0.005603566130620852,0.3095032818763648,32.55821862108601,-77.19734816237747,32.55821862108601,32.55821862108601,0.5992966405933275,-0.025457376828869505,5.6244586288078295,-0.07554750218216674,-0.05009012535329724,100.0
2008-01-08,-0.007128367418579473,-0.005463866042376253,-0.0062012208800070745,-0.008085528911835893,0.04106353611807334,32.55821862108601,-47.25823480886445,-1.1219459577126827,32.55821862108601,-0.45082183918971896,-0.029927111421169994,5.613525423477135,-0.09268962474074856,-0.06276251331957856,85.3884609185098
2008-01-09,-0.010869801807189994,-0.01711291375554458,-0.010707944335094588,-0.004870914614928945,0.3506544654233754,32.55821862108601,-79.1094922684218,-20.592218852532483,32.55821862108601,0.22644291335660593,-0.02104413242515754,12.893572448312916,-0.09163183777574721,-0.07058770535058967,100.0
2008-01-10,-0.01084035915936643,0.0009502942917056778,-0.006828220351313918,0.003667925407654815,0.268393697202691,32.55821862108601,-5.947591026083375,-31.018084269050192,-1.1219459577126827,0.9197579139411216,0.01704172715998136,29.728713086409257,-0.04777190873803853,-0.06481363589801989,100.0
2008-01-11,-0.007816396015365101,-0.01500355884884741,-0.02149273319192946,-0.02270166227892645,0.19523909407253237,32.55821862108601,-147.30306134351747,-33.10413644190922,-20.592218852532483,-2.942089932852343,-0.07141215670900589,16.06567470374806,-0.1588164323071079,-0.08740427559810202,54.278068186883246
2008-01-14,-0.020791210647305824,-0.02129635265336327,-0.02437941134385213,-0.019798985317812434,-0.21203652129959305,32.55821862108601,-141.46487431639133,-50.02546842830754,-31.018084269050192,0.04940074712833642,-0.1107911163809424,15.044927549036757,-0.23147687784622664,-0.12068576146528424,55.72566649412973
2008-01-15,-0.03617356991314402,-0.042143030154115246,-0.06420832256593711,-0.07169688139843866,0.47822104939601084,32.55821862108601,-231.8235380239294,-49.12880313240858,-33.10413644190922,-6.043108345211568,-0.3651964194975206,1.5147610896362877,-0.5913349117786885,-0.2261384922811679,27.19340142555501
2008-01-16,-0.07634438806117938,-0.062398342730337286,-0.07217142727649295,-0.05647425849943821,0.20108371704889216,-1.1219459577126827,-179.14092050132913,-47.0011498923594,-36.261520586741945,1.0690532337550795,-0.4436571272850729,11.902206273654322,-0.7940518080321795,-0.35039468074710656,44.73422181755022
2008-01-17,-0.058695531007964874,-0.056007031499194726,-0.06885931630037723,-0.07765811599745054,-0.09015665346875534,-20.592218852532483,-153.41562141366694,-44.50187706502059,-35.41255822535261,-2.9304748848659745,-0.582331638212749,0.7017537968039349,-1.091989862753848,-0.509658224541099,35.773338973841454
2008-01-18,-0.07374929665486729,-0.02922408467703952,-0.06328019632544424,-0.06411674877408091,-0.11200197597712236,-31.018084269050192,-106.03499917319421,-49.0615694586103,-37.097800752424305,0.9288812161205806,-0.5858603748213519,1.2781903434821231,-1.252791397457701,-0.6669310226363491,48.24372062197627
