date,open,high,low,close,volume,cr-ma3,cci,cr-ma1,cr-ma2,change,ppoh,kdjj_9,ppo,ppos,stochrsi,close_
2008-01-04,0.02838785598016158,0.006609083592014731,0.025591329040777433,0.007342320373202593,-0.33904576142221377,-38.63229638655137,51.23656943804917,-38.63229638655137,-38.63229638655137,0.27796129609909404,0.0206990669287192,92.80292582903027,0.055636903401414126,0.034937836472694925,0.0,3.5247037410736084
2008-01-07,0.0341542223068636,0.017663687275324857,0.039322328763664594,0.020948837602062342,-0.2710275695402641,-38.63229638655137,102.02123360093756,-38.63229638655137,-38.63229638655137,2.063437659868028,0.0673307254717493,99.28549882095913,0.13676176146890595,0.06943103599715665,0.0,3.5974338054656982
2008-01-08,0.04336904979136702,0.009740469822222986,0.011475958370941841,-0.013105029539544844,-0.12471889953842208,-38.63229638655137,12.944065656605405,15.064359142573394,-38.63229638655137,-3.6511751717225205,-0.027588518748618247,78.78342392162142,0.03016038701961808,0.057748905768236325,0.0,3.466085195541382
2008-01-09,-0.00445602697305203,-0.009293881583902652,0.003716334385433173,0.0022141302569222976,-0.5431141484587793,-38.63229638655137,-6.926713391524031,25.86515488330538,-38.63229638655137,1.5972482797449228,-0.018375515965081052,77.1488785430372,0.03254051410219403,0.05091603006727508,19.048594445434194,3.52144718170166
2008-01-10,0.02385513418261942,0.005277261442781178,0.01923249607461952,-0.002605206924607195,-0.2994910005699576,-38.63229638655137,44.49202977907821,43.09892461548401,15.064359142573394,-0.5240615787927116,-0.03075761903112626,72.86473590870096,0.009737129976183784,0.040494749007310045,11.883336105656328,3.502992630004883
2008-01-11,0.01044066095257401,0.004614516856379813,-0.009021324126639918,0.01338055583868858,0.0634809662970719,-38.63229638655137,21.59691070575567,41.45830771501619,25.86515488330538,1.7973382003586114,0.02949754879240759,81.28632083312473,0.07932360114517222,0.049826052352764626,28.65971092347694,3.565953254699707
2008-01-14,0.030022916105215458,0.00947004498669779,0.028336310191394043,0.012149617200798879,-0.3282599002936508,-38.63229638655137,112.80342509135339,52.80557744866982,43.09892461548401,0.03044790920345708,0.059811813469943714,85.41947052671017,0.1276052452454947,0.06779343177555097,28.911067840797735,3.5670390129089355
2008-01-15,0.02303466487661665,0.013941662852816616,0.024012614300583213,0.030513317263014983,0.12859557247928,-38.63229638655137,131.34168239126834,46.23497646512283,41.45830771501619,2.1606890228260234,0.15798407881156273,99.001159694291,0.27139639304777313,0.1134123142362104,43.99554436355346,3.644111633300781
2008-01-16,0.029051432184274528,0.00444242112140536,0.011476131125329303,-0.013021380604273936,-0.14028413060057965,15.064359142573394,5.6380198651773235,40.138227296830166,37.56593180946629,-4.349114973379587,0.016057023387430647,58.2807866789629,0.13396646930828218,0.11790944592085154,0.23254760332541055,3.485625028610229
2008-01-17,-0.018862271124481134,-0.029741010043076943,-0.06215293145847012,-0.0715686363443172,0.7689287085642471,25.86515488330538,-234.99189652111482,27.808640272175197,37.329085801537275,-6.540040880257281,-0.34879147221192647,16.752221985836115,-0.3262740027258169,0.02251746948610955,0.0,3.2576637268066406
