date,open,high,low,close,volume,cr-ma3,cci,cr-ma1,cr-ma2,change,ppoh,kdjj_9,ppo,ppos,stochrsi
2008-01-04,-0.01727775891482375,-0.012839223275822986,-0.009782785781039971,-0.009897104311878402,0.29615194664916356,43.442792105459745,-64.33165311978087,43.442792105459745,43.442792105459745,-0.3126318131029482,-0.028133871194049434,11.306764024222204,-0.0768080624564786,-0.04867419126242917,100.0
2008-01-07,-0.017669147966315912,-0.01672974847692521,-0.00883042734800088,-0.005540891058479547,-0.11086264941774227,43.442792105459745,-67.98868682359938,43.442792105459745,43.442792105459745,0.2548088205898802,-0.018672002162948932,13.283707051395837,-0.076911768303938,-0.05823976614098907,100.0
2008-01-08,-0.0030147788711921697,-0.006953311176675747,-0.00440050816111226,-0.0075578215058889064,0.08842841108015853,43.442792105459745,-47.80221266820652,-16.192862022678767,43.442792105459745,-0.39102354680906615,-0.022972031478279864,9.487477164830509,-0.09093911447152157,-0.06796708299324171,85.98859738530707
2008-01-09,-0.01836177558115315,-0.02254249984577783,-0.024412869880193977,-0.025910588550381308,0.308291452182726,43.442792105459745,-157.53601890658692,-33.982137043734014,43.442792105459745,-2.355259567451151,-0.09537207174536329,2.51625879171214,-0.19880294867057313,-0.10343087692520984,45.13086315418317
2008-01-10,-0.026159862089470853,-0.02288205953575151,-0.026285317336248726,-0.029570611601720143,0.6692345858471305,43.442792105459745,-132.3430924452329,-43.15939348439873,-16.192862022678767,-0.8643216684401822,-0.149939128447599,-2.7169099846142544,-0.30417230570227655,-0.15423317725467756,38.137912072918375
2008-01-11,-0.037062414251880615,-0.03750756972689928,-0.06912943243735248,-0.06942540814524945,1.0483904766288812,43.442792105459745,-176.46785688319417,-45.5900028074524,-33.982137043734014,-5.04864343229362,-0.34644206856459114,-4.235570955848921,-0.6102693024696658,-0.2638272339050747,19.3960198840248
2008-01-14,-0.05384566176189254,-0.014847787389927203,-0.04191089177760543,-0.02753904605082058,0.7765762422410338,43.442792105459745,-78.9725232373069,-67.94526422128621,-43.15939348439873,4.1426303353822025,-0.27426100545957977,18.783271380768447,-0.6204758357287642,-0.3462148302691844,100.0
2008-01-15,-0.030643664043538577,-0.018845220258511874,-0.03897480575620915,-0.029547855584373894,0.5460994329465336,43.442792105459745,-78.82745248602062,-65.71425962819637,-45.5900028074524,-0.5331288791362021,-0.23285906917986093,30.642889765381227,-0.6463133996994793,-0.4134543305196184,95.9565518629665
2008-01-16,-0.04278717284309175,-0.0355626555895201,-0.03907531882508908,-0.02364371327560555,0.4149994252175542,-16.192862022678767,-86.129091661549,-67.0051374691284,-49.380588166828545,0.37107638152571454,-0.17430336788014578,42.16883162748066,-0.6365752892769793,-0.4622719213968335,100.0
2008-01-17,-0.033312299931778644,-0.01121021341480033,-0.014258138870270609,-0.007340721542684614,-0.031027178478647,-33.982137043734014,-30.229773403840287,-62.099269162537816,-51.56528888376277,1.6019760557523188,-0.05569333272883892,59.31543176659626,-0.533196982841831,-0.4775036501129921,100.0
2008-01-18,-0.01218349588963441,0.0028846748644442144,-0.00810236680166354,-0.0017752840170277562,-0.015359139923367016,-43.15939348439873,-6.7521269305370755,-59.42775425495756,-54.62151230960551,0.5457846200453309,0.04661142229412152,70.73154976800048,-0.4183795044423643,-0.46499092673648584,100.0
2008-01-21,-0.018378035490285383,-0.03258918935911859,-0.04031362255053772,-0.04916766117217242,0.24469881596028498,-45.5900028074524,-115.01626943899558,-54.783574120104646,-53.68154663892044,-5.106565267263862,-0.12853612772584488,38.39047700138525,-0.6275304424157183,-0.49899431468987343,69.71904454250631
2008-01-22,-0.06669005983901577,-0.04304066375341753,-0.057853470941398144,-0.04206762389239882,0.4376797679864648,-49.380588166828545,-127.09686012293743,-47.772058940645096,-52.508878531204985,0.44489823954905194,-0.20167447145113226,31.026753217847755,-0.7534068485161004,-0.5517323770649681,74.107829500859
2008-01-23,-0.03172939650062612,-0.03264754251735957,-0.057336111561376524,-0.04906954257423768,0.5262290037385411,-51.56528888376277,-112.03104004203495,-36.7260660861283,-61.36441917069542,-1.0546211101196024,-0.2793293134419992,21.56642974468899,-0.9034406262749204,-0.6241113128329212,69.43383570165976
2008-01-24,-0.021942010992318295,0.005957006908951179,-0.008494401240004223,0.004375104929685181,0.008495113848907998,-54.62151230960551,32.399524064171736,-34.42875911156375,-56.743159284420734,5.649136864668813,-0.0344513609110626,56.626987291050995,-0.6674249653027604,-0.6329736043916978,100.0
2008-01-25,0.025652454944954828,0.03488203142575097,0.030777291551281394,0.024957830287329674,0.05300990437963615,-53.68154663892044,130.75038657397997,-33.53920581158478,-51.86560177762834,2.199346247815548,0.2349925834992596,75.36388295473557,-0.3378795092913685,-0.5728720927906281,100.0
2008-01-28,0.0033441170372465745,0.0018177448198795076,0.016109639594724,0.01557888250291306,-0.1485597228903317,-52.508878531204985,81.53537677234046,-31.298464993724068,-48.26401413705078,-0.8292252843982495,0.34755194383298904,78.45843656818165,-0.13683821416514994,-0.48439015799813895,95.67247801287144
2008-01-29,0.017487032084843923,0.0006018373534844024,0.010620756131358489,0.016130685790436194,-0.24247584435135972,-51.83649087286313,74.72474322599113,-28.382882293134983,-46.48348003327118,0.1393505203625356,0.40903950415784035,79.33971300632555,0.028404491426558647,-0.3806350127312817,96.37532500829471
2008-01-30,0.0074683401821675766,-0.00939289876334326,0.006207854810908797,-0.0032999574125532893,0.2846328317879483,-49.984776407463734,37.24580862421613,-24.239681063056494,-43.04101955691435,-1.9284005228565992,0.324068718227786,66.9646773048619,0.02539584417592146,-0.29867287405186455,86.38138248305565
2008-01-31,0.0038694561100149905,0.019475627266611006,0.011593169747123655,0.03959077171836434,0.13317130821829615,-47.73864837749889,112.11475479428982,-18.815575209187813,-38.07747061689004,4.50028529150639,0.4967027529315021,86.14156099573987,0.32336154772224834,-0.17334120520925378,100.0
2008-02-01,0.04241229340752617,0.031226659270601642,0.03611155520496845,0.03184345305426106,-0.0945317235410994,-46.8055510934359,125.93694712878543,-13.091674392656756,-30.48287357459239,-0.6013551765509662,0.5431443639941622,91.05418148354842,0.5065986221446657,-0.036545741849496494,94.06521277079122
2008-02-04,0.03980787733023794,0.028003596928272145,0.0443213239325182,0.029706219935353495,-0.6447580347085053,-46.18565429133159,114.70474960539512,-8.828926560241896,-26.622167160375767,-0.07807100878720608,0.5377635051980025,91.74924121989451,0.6364569509061224,0.09869344570811989,93.26743999692653
2008-02-05,0.01688736007193925,0.007993031154029051,0.015495459703945613,0.0030323280861257462,-0.19181491287634134,-45.41835778563218,35.66366940844278,-6.577913759075642,-23.315440102120775,-2.578128129374868,0.35810797228236924,58.549495550640785,0.5467531963241589,0.18864522404178963,68.54004050287834
2008-02-06,-0.013177318647388025,0.022605405892186736,0.006267312845650741,0.02068718700568084,-0.3489406599229743,-43.631278138543514,54.92127368604289,-6.215196039217062,-20.063695776982982,1.8444235294911238,0.3282255023834694,50.63126588848749,0.5992382778323592,0.27101277544888974,84.44773341673138
2008-02-07,0.02022909011217111,0.026094177518734663,0.022904757530100017,0.01913300139155094,0.02497086204182053,-41.21115745682044,67.10701589498585,-3.8658142080739992,-17.48039802610532,-0.07873802859178491,0.2848187162889007,47.197849289287106,0.6272520261302097,0.342433309841309,83.69111397271136
2008-02-08,0.02814946090866699,0.01776820766239484,0.03226572266551142,0.030032722597705508,-0.49957502766329365,-39.439767966002194,76.39206317910931,-2.7063462983852276,-15.227438551136771,1.1820563340460444,0.307207606745174,60.43479382408016,0.7266289639492937,0.41942135720411966,94.03689411900703
2008-02-11,0.013101211582563499,0.004085170178316888,0.021900007376136843,0.015046978223578256,-0.533521771861182,-37.91215931666288,24.761659562456536,-0.18987896630838463,-11.34069470863092,-1.4018945765236546,0.21845629950726397,50.161528313190786,0.6925975753040939,0.47414127579682996,79.57530645336816
2008-02-12,0.01940286965423721,0.02194541949550377,0.02311741623325614,0.040066630311888174,-0.5441931644593918,-40.714057473839205,93.4814638160003,1.2049706662942725,-7.899010345520978,2.6066384157988454,0.2983547139961814,76.02516981251236,0.847200267562753,0.5488455535665716,100.0
2008-02-13,0.03398402514587673,0.03693533332972776,0.035308811725755174,0.04896087069366839,-0.4555781183588513,-37.11177865526302,153.59052864247724,3.534493616742367,-4.5094027632751335,1.0200282512518255,0.3873393824559844,88.53727236984523,1.0331398059520416,0.6458004234960572,100.0
2008-02-14,0.05001494936879469,0.04576445503665294,0.053969921813398214,0.04176027029588103,-0.18657095567024062,-33.54652016438256,160.45085922315366,4.792850040312786,-2.6864715463906776,-0.5524845159975422,0.38200591711237697,79.88174476819148,1.12340249373097,0.7413965766185929,86.72384286841661
2008-02-15,0.033422920750777685,0.03448405212769523,0.045001799438819434,0.03484466452853452,-0.37763401405653874,-29.80235442284085,103.56954988465097,8.816994812696677,-1.3403512112373477,-0.5555538650801162,0.3175694234501414,69.37600745512268,1.1384213069109008,0.8208518834607594,73.27102086141149
2008-02-18,0.03413980197115363,0.03116609480583632,0.048516026038071036,0.043437002688138326,-0.7293579961746779,-27.191245189396085,109.59033920782221,12.681159905094361,0.4635179161194003,0.9631973251828185,0.3104998043587358,73.21086901338202,1.2090258707714998,0.898526066412764,91.19198078885272
