date,open,high,low,close,volume,cr-ma3,cci,cr-ma1,cr-ma2,change,ppoh,kdjj_9,ppo,ppos,stochrsi
2008-01-04,-0.013772815283992657,-0.010663812444557719,-0.022075605162885314,-0.021471357377304434,0.2156101171464695,60.94182100515903,-99.99999999999969,60.94182100515903,60.94182100515903,-2.648187408299252,-0.059501354158639566,6.853110216719443,-0.11460904163690412,-0.055107687478264555,100.0
2008-01-07,-0.03635540940803628,-0.03332860362803025,-0.025953632012430172,-0.02736282404760093,0.18065905943007743,60.94182100515903,-102.9636870875252,60.94182100515903,60.94182100515903,-1.500482336867559,-0.10084573430912615,-1.324092120499209,-0.20761619551132826,-0.10677046120220211,100.0
2008-01-08,-0.023698548650144202,-0.01512742990080762,-0.011464990735571612,-0.007604428937823315,-0.11574162446358383,60.94182100515903,-44.00057649964367,2.198685214216596,60.94182100515903,1.8378204196852543,-0.05301456228667217,12.38524665609878,-0.18223360169291905,-0.12921903940624688,100.0
2008-01-09,-0.024468064169803738,-0.03220634948493173,-0.05527058110951033,-0.0506611424007829,1.2640957129286141,60.94182100515903,-140.24692042384225,-20.518537348239704,60.94182100515903,-5.298204639571158,-0.19239121079580268,6.469417704278236,-0.3931502946733588,-0.20075908387755614,53.03684344739573
2008-01-10,-0.046580455353399164,-0.05465167888634337,-0.051243416057317415,-0.05900741668460785,0.15482068943956384,60.94182100515903,-127.84108337122125,-34.23379389584599,2.198685214216596,-1.8444842708101206,-0.3033302001244479,-3.849975241231512,-0.6068634703352613,-0.30353327021081344,45.457195399205446
2008-01-11,-0.0587036337536857,-0.06000545413751435,-0.052911343938291444,-0.04456199359513269,-0.18550734997089247,60.94182100515903,-106.86930099002898,-37.41040096308255,-20.518537348239704,0.8928423941840347,-0.30294941690396787,1.3465898388325073,-0.7023182064440053,-0.39936878954003746,66.6906059586254
2008-01-14,-0.04858647707300112,-0.04262714326840156,-0.030996189721497203,-0.028965782168415277,-0.3588037506046148,60.94182100515903,-67.48083484293709,-63.398007190600964,-34.23379389584599,1.2657074157727877,-0.22885433620473172,11.444218868382855,-0.6969706264906982,-0.46811629028596646,94.27263137917808
2008-01-15,-0.037281585063807854,-0.038265785346758174,-0.03331388319109441,-0.040728103702032725,0.004796002233187657,60.94182100515903,-71.84322506376506,-66.62056025170271,-37.41040096308255,-1.656357849434198,-0.23314573727756804,9.830981423381004,-0.768584305004891,-0.535438567727323,83.01832108929908
2008-01-16,-0.056976413912821045,-0.05922082749496371,-0.05220803332580959,-0.053894185498429836,0.24537166137923605,2.198685214216596,-99.94437892612801,-67.94499132662652,-42.674702491307634,-1.901203295162568,-0.2932905254543332,4.605633921575546,-0.9108717221734163,-0.6175811967190831,72.4972459135044
2008-01-17,-0.04380308952026768,-0.04904486282006759,-0.06343596236389848,-0.07114446593566648,0.0782534954754619,-20.518537348239704,-105.72067159930357,-65.39794436973139,-46.957918690011475,-2.454187904428917,-0.4080916189174171,-1.7330136072714666,-1.1372829586486344,-0.7291913397312173,61.8140541839008
2008-01-18,-0.07299601575716286,-0.06352849756257362,-0.07461362728125043,-0.07174576273499766,0.4737370038069315,-34.23379389584599,-115.74823787416597,-67.6847905024454,-50.16007108473147,-0.6586784738841667,-0.4734522371942852,1.5163070628413529,-1.3297406828369698,-0.8562884456426846,59.34831640730251
2008-01-21,-0.09571118227083797,-0.10560921095838571,-0.1389096059828917,-0.14150424978841014,0.8490488174988713,-37.41040096308255,-188.25609143238054,-67.09504881779087,-51.54721082578234,-8.51087337580977,-0.8602174804701403,-0.4395557661665954,-1.9440708079108817,-1.0838533274407414,38.25442788131135
2008-01-22,-0.1802416433452988,-0.11339224619410271,-0.16705419931576115,-0.11850018426741005,1.1178303670492826,-42.674702491307634,-175.97928763453746,-65.17285000131491,-52.54759573276398,1.8177622931530246,-0.963817759094727,20.1383749058935,-2.299710329438249,-1.3358925703435218,60.43969155483443
